publisher,reference-count,RetractionNature
American Educational Research Association (AERA),0,Non-Retraction
Elsevier,0,Non-Retraction
IEEE,0,Non-Retraction
American Society of Hematology,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Universidade Tiradentes,0,Non-Retraction
Harvard University Press,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
"Trans Tech Publications, Ltd.",7,Non-Retraction
Presses Polytech. Univ. Romandes,11,Non-Retraction
Springer Science and Business Media LLC,2,Non-Retraction
Princeton University Press,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
BMJ Publishing Group Ltd and Royal College of Paediatrics and Child Health,0,Non-Retraction
The Japanese Psychological Association,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
IEEE,26,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
De Gruyter,0,Non-Retraction
IEEE,9,Non-Retraction
Medwell Publications,0,Non-Retraction
Massachusetts Medical Society,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
IOP Publishing,25,Non-Retraction
Persatuan Perawat Nasional Indonesia Jawa Tengah,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,13,Non-Retraction
Cold Spring Harbor Laboratory,63,Non-Retraction
Elsevier BV,7,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Sekolah Tinggi Agama Islam Negeri Teungku Dirundeng Meulaboh,0,Non-Retraction
Informa UK Limited,7,Non-Retraction
Wiley,0,Non-Retraction
Universidad Complutense de Madrid (UCM),0,Non-Retraction
"EMH Swiss Medical Publishers, Ltd.",0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),13,Non-Retraction
BMJ,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Emerald,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Wissenschaftliche Verlagsgesellschaft mbH,0,Non-Retraction
Elsevier BV,0,Non-Retraction
"Scientific Research Publishing, Inc.",25,Non-Retraction
SPIE,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
FapUNIFESP (SciELO),0,Non-Retraction
Baishideng Publishing Group Inc.,101,Non-Retraction
Elsevier BV,55,Non-Retraction
BMJ,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Shanghai Institute of Optics and Fine Mechanics,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Japan Society of Gynecologic and Obstetric Endoscopy and Minimally Invasive Therapy,0,Non-Retraction
Elsevier BV,20,Non-Retraction
Duke University Press,0,Non-Retraction
Springer International Publishing,44,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
The Royal Society,0,Non-Retraction
Springer Science and Business Media LLC,7,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
WORLD SCIENTIFIC,0,Non-Retraction
Elsevier BV,24,Non-Retraction
Brill,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Mary Ann Liebert Inc,0,Non-Retraction
Informa UK Limited,10,Non-Retraction
University of Chicago Press,0,Non-Retraction
Wiley,3,Non-Retraction
Magnolia Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IOP Publishing,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
BMJ,0,Non-Retraction
Elsevier BV,29,Non-Retraction
Elsevier BV,0,Non-Retraction
American Physical Society (APS),0,Non-Retraction
Instituto Educacional Piracicabano da Igreja Metodista,0,Non-Retraction
Office of Religious Research and Development,0,Non-Retraction
Pleiades Publishing Ltd,19,Non-Retraction
Institute of Mathematical Statistics,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Universitas Gadjah Mada,0,Non-Retraction
Springer Vienna,18,Non-Retraction
Program Pascasarjana Universitas Sjakhyakirti,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
University of Chicago Press,0,Non-Retraction
IEEE,16,Non-Retraction
University of Chicago Press,4,Non-Retraction
SAGE Publications,0,Non-Retraction
Informa UK Limited,22,Non-Retraction
OTC,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
AMPCo,0,Non-Retraction
Springer Science and Business Media LLC,12,Non-Retraction
SAGE Publications,0,Non-Retraction
Pleiades Publishing Ltd,34,Non-Retraction
Peter Lang CH,0,Non-Retraction
Springer Science and Business Media LLC,44,Non-Retraction
"Scientific Research Publishing, Inc.",18,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
SAGE Publications,5,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
"John Wiley & Sons, Ltd.",0,Non-Retraction
Springer Netherlands,18,Non-Retraction
AMPCo,0,Non-Retraction
Universitas Haji Sumatera Utara,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Research Square Platform LLC,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
American Society of Civil Engineers,17,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAE International,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),1,Non-Retraction
The Electrochemical Society,0,Non-Retraction
University of Debrecen/ Debreceni Egyetem,0,Non-Retraction
Japan Society of Coloproctology,0,Non-Retraction
Elsevier BV,19,Non-Retraction
Informa UK Limited,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer International Publishing,13,Non-Retraction
Anthropological Society of Nippon,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Elsevier BV,5,Non-Retraction
Elsevier BV,0,Non-Retraction
Universitas Adhirajasa Reswara Sanjaya,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Technoscience Academy,10,Non-Retraction
Fondo Editorial Universitario Servando Garcés de la Universidad Politécnica Territorial de Falcón Alonso Gamero / Alianza de Investigadores Internacionales S.A.S.,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Springer Fachmedien Wiesbaden GmbH,0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Oldenbourg Wissenschaftsverlag,0,Non-Retraction
Springer New York,19,Non-Retraction
SAGE Publications,0,Non-Retraction
Springer Science and Business Media LLC,31,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
IEEE,14,Non-Retraction
Research Square Platform LLC,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Gütersloher Verlagshaus,0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Biophysical Society of Japan,0,Non-Retraction
BMJ,0,Non-Retraction
Informa UK Limited,14,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,18,Non-Retraction
Biblioteca Central da UNB,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Wiley,0,Non-Retraction
Oldenbourg Wissenschaftsverlag,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,26,Non-Retraction
IOP Publishing,22,Non-Retraction
Institution of Engineering and Technology (IET),0,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
The Electrochemical Society,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
IEEE,10,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
The Japanese Psychological Association,0,Non-Retraction
Wiley,51,Non-Retraction
North American Cartographic Information Society,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Cambridge University Press (CUP),6,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,14,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
"Publicidad Permanyer, SLU",26,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Japanese Society of Medical Instrumentation,0,Non-Retraction
Princeton University Press,0,Non-Retraction
Springer Berlin Heidelberg,21,Non-Retraction
IEEE,17,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),11,Non-Retraction
Elsevier BV,2,Non-Retraction
Springer Berlin Heidelberg,2,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Springer Science and Business Media LLC,24,Non-Retraction
APESC - Associacao Pro-Ensino em Santa Cruz do Sul,0,Non-Retraction
Elsevier BV,4,Non-Retraction
SAGE Publications,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,8,Non-Retraction
Informa UK Limited,0,Non-Retraction
Universidade Federal de Goias,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
IEEE,2,Non-Retraction
Elsevier BV,8,Non-Retraction
Elsevier BV,0,Non-Retraction
Viet Nam National University Ho Chi Minh City,0,Non-Retraction
Research Square Platform LLC,0,Non-Retraction
IEEE,6,Non-Retraction
Springer Science and Business Media LLC,21,Non-Retraction
SAGE Publications,5,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Sociedade Portuguesa de Estomatologia e Medicina Dentaria (SPEMD),27,Non-Retraction
Informa UK Limited,8,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,9,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Princeton University Press,0,Non-Retraction
The Electrochemical Society,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,6,Non-Retraction
Wiley,0,Non-Retraction
Informa UK Limited,39,Non-Retraction
Springer Berlin Heidelberg,0,Non-Retraction
Society of Economic Geologists,0,Non-Retraction
Richtmann Publishing,0,Non-Retraction
Cambridge University Press (CUP),25,Non-Retraction
American Educational Research Association (AERA),7,Non-Retraction
Universitas Andalas,0,Non-Retraction
Springer Netherlands,4,Non-Retraction
Baishideng Publishing Group Inc.,0,Non-Retraction
Walter de Gruyter GmbH,36,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
SPIE,0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Springer Science and Business Media LLC,21,Non-Retraction
Sri Lanka Journals Online (JOL),0,Non-Retraction
Institution of Engineering and Technology (IET),4,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,18,Non-Retraction
Elsevier BV,29,Non-Retraction
BMJ,0,Non-Retraction
Elsevier BV,5,Non-Retraction
Elsevier BV,9,Non-Retraction
Elsevier BV,0,Non-Retraction
Cellule MathDoc/CEDRAM,0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Universidade Federal de Juiz de Fora,0,Non-Retraction
BMJ,0,Non-Retraction
OSA,12,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,14,Non-Retraction
Informa UK Limited,0,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
IEEE Comput. Soc,6,Non-Retraction
Elsevier BV,0,Non-Retraction
EDP Sciences,0,Non-Retraction
INOVAGRI/INCT-EI/INCTSal,0,Non-Retraction
Clute Institute,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Springer Science and Business Media LLC,41,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
IEEE,11,Non-Retraction
Elsevier BV,4,Non-Retraction
Massachusetts Medical Society,3,Non-Retraction
Canadian Science Publishing,0,Non-Retraction
SAGE Publications,56,Non-Retraction
Elsevier BV,3,Non-Retraction
Informa UK Limited,0,Non-Retraction
American Institute of Aeronautics and Astronautics,14,Non-Retraction
GN1 Genesis Network,0,Non-Retraction
Jurnal Santiaji Pendidikan of Mahasaraswati Denpasar University,0,Non-Retraction
Emerald,0,Non-Retraction
Informa UK Limited,61,Non-Retraction
Elsevier BV,12,Non-Retraction
Informa UK Limited,0,Non-Retraction
De Gruyter,0,Non-Retraction
"Scientific Research Publishing, Inc.",7,Non-Retraction
Elsevier BV,0,Non-Retraction
Begellhouse,0,Non-Retraction
Universiti Malaysia Pahang Publishing,0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
American Society of Agricultural and Biological Engineers,0,Non-Retraction
Institut Pertanian Bogor,0,Non-Retraction
BMJ,0,Non-Retraction
Japanese Society for Bacteriology,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Georg Thieme Verlag KG,6,Non-Retraction
Elsevier BV,0,Non-Retraction
EDP Sciences,6,Non-Retraction
Institute of Research and Community Services Diponegoro University (LPPM UNDIP),0,Non-Retraction
Elsevier BV,18,Non-Retraction
Japan Science Support Foundation,0,Non-Retraction
Universidade Federal de Pernambuco,0,Non-Retraction
Escola Nacional de Administracao Publica (ENAP),0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Springer Berlin Heidelberg,21,Non-Retraction
Boehlau Verlag Ges.m.b.H. & Co. KG,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Institute of Mathematical Statistics,0,Non-Retraction
Springer Berlin Heidelberg,42,Non-Retraction
Elsevier BV,18,Non-Retraction
The Electrochemical Society of Japan,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Elsevier BV,23,Non-Retraction
IEEE,9,Non-Retraction
IEEE,0,Non-Retraction
American Physical Society (APS),46,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
"Alcohol Research Documentation, Inc.",0,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
Beijing Univ. Posts & Telecommun. Press,8,Non-Retraction
Japan Society of Civil Engineers,5,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Genetics and Molecular Research,28,Non-Retraction
Elsevier BV,0,Non-Retraction
American Society of Hematology,0,Non-Retraction
BMJ,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
SAGE Publications,0,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,8,Non-Retraction
University of Chicago Press,0,Non-Retraction
Informa UK Limited,3,Non-Retraction
IEEE,13,Non-Retraction
Crop Science Society of Japan,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Portland Press Ltd.,0,Non-Retraction
AMPCo,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
Institute of Market Problems and Еconomic and  Ecological Research of the NAS of Ukraine,0,Non-Retraction
IEEE,5,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
EDP Sciences,0,Non-Retraction
Wiley,0,Non-Retraction
Folium Publishing Company,0,Non-Retraction
Sultan Qaboos University,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,6,Non-Retraction
Springer Science and Business Media LLC,3,Non-Retraction
IOP Publishing,14,Non-Retraction
IEEE,4,Non-Retraction
Springer US,36,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,2,Non-Retraction
Sri Lanka Journals Online (JOL),0,Non-Retraction
American Society of Civil Engineers,0,Non-Retraction
Royal College of Psychiatrists,0,Non-Retraction
Canadian Mathematical Society,17,Non-Retraction
Informa UK Limited,0,Non-Retraction
SAGE Publications,32,Non-Retraction
DE GRUYTER,0,Non-Retraction
Elsevier BV,6,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,11,Non-Retraction
SAGE Publications,0,Non-Retraction
Presses Polytech. Univ. Romandes,8,Non-Retraction
Elsevier BV,0,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,7,Non-Retraction
Informa UK Limited,46,Non-Retraction
Springer Science and Business Media LLC,2,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
IEEE,13,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
SAGE Publications,0,Non-Retraction
Elsevier BV,2,Non-Retraction
Springer Science and Business Media LLC,32,Non-Retraction
Elsevier BV,6,Non-Retraction
Universidad de Costa Rica,0,Non-Retraction
The Korean Foundrymens Society,0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),0,Non-Retraction
BMJ,0,Non-Retraction
Foundation for Orphan and Rare Lung Disease (FORLD),0,Non-Retraction
IEEE,10,Non-Retraction
Informa UK Limited,15,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
IEEE,11,Non-Retraction
International Burch University,0,Non-Retraction
University of Texas Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Inderscience Publishers,0,Non-Retraction
Springer Berlin Heidelberg,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Columbia University Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
EDP Sciences,4,Non-Retraction
Japanese Urological Association,0,Non-Retraction
Elsevier BV,0,Non-Retraction
SAGE Publications,0,Non-Retraction
IOP Publishing,20,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Society of Fiber Science and Technology Japan,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),8,Non-Retraction
IEEE,20,Non-Retraction
DE GRUYTER,0,Non-Retraction
Elsevier BV,4,Non-Retraction
IEEE,0,Non-Retraction
"Trans Tech Publications, Ltd.",5,Non-Retraction
The Journal of International Social Research,0,Non-Retraction
Elsevier BV,5,Non-Retraction
American Podiatric Medical Association,9,Non-Retraction
Elsevier BV,1,Non-Retraction
Maya Global Education Society,26,Non-Retraction
Universidad Nacional de La Plata,0,Non-Retraction
American Institute of Aeronautics and Astronautics,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
International Society for Horticultural Science (ISHS),0,Non-Retraction
Cambridge University Press (CUP),6,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Begellhouse,0,Non-Retraction
eSAT Publishing House,0,Non-Retraction
Springer Science and Business Media LLC,25,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,2,Non-Retraction
IWA Publishing,0,Non-Retraction
Elsevier BV,7,Non-Retraction
American Association for the Advancement of Science (AAAS),0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Elsevier BV,0,Non-Retraction
IEEE,28,Non-Retraction
American Medical Association (AMA),0,Non-Retraction
American Association for the Advancement of Science (AAAS),0,Non-Retraction
BMJ,0,Non-Retraction
American Library Association,0,Non-Retraction
IEEE,13,Non-Retraction
Springer Berlin Heidelberg,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Springer Science and Business Media LLC,23,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,6,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
BMJ,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Springer Netherlands,0,Non-Retraction
Institute of Electrical and Electronics Engineers (IEEE),46,Non-Retraction
Elsevier BV,1,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
EDP Sciences,0,Non-Retraction
Harvard University Press,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
University of Pennsylvania Press,0,Non-Retraction
Springer Science and Business Media LLC,1,Non-Retraction
Elsevier BV,0,Non-Retraction
The Korean Society of Clean Technology,18,Non-Retraction
Egypts Presidential Specialized Council for Education and Scientific Research,0,Non-Retraction
Universitas Pahlawan Tuanku Tambusai,0,Non-Retraction
IEEE,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Informa UK Limited,0,Non-Retraction
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",0,Non-Retraction
Elsevier BV,0,Non-Retraction
De Gruyter,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
The Pedagogical University of Cracow/Uniwersytet Pedagogiczny w Krakowie,0,Non-Retraction
Banaras Hindu University,0,Non-Retraction
University of Toronto Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Editorial CSIC,0,Non-Retraction
IEEE,17,Non-Retraction
SAGE Publications,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
AOSIS,0,Non-Retraction
SAGE Publications,0,Non-Retraction
IEEE,14,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Springer Science and Business Media LLC,5,Non-Retraction
Georg Thieme Verlag KG,5,Non-Retraction
Hrvatsko Sumarsko Drustvo,0,Non-Retraction
Springer International Publishing,3,Non-Retraction
New Zealand Plant Protection Society,0,Non-Retraction
SAGE Publications,7,Non-Retraction
DE GRUYTER SAUR,0,Non-Retraction
IEEE,1,Non-Retraction
"Trans Tech Publications, Ltd.",19,Non-Retraction
Institute of Electrical Engineers of Japan (IEE Japan),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,6,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Boehlau Verlag Ges.m.b.H. & Co. KG,0,Non-Retraction
IOP Publishing,0,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Termedia Sp. z.o.o.,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Harvard University Press,0,Non-Retraction
Farmarus Print Media,17,Non-Retraction
Kluwer Law International BV,0,Non-Retraction
"Trans Tech Publications, Ltd.",6,Non-Retraction
Ovid Technologies (Wolters Kluwer Health),0,Non-Retraction
Elsevier BV,1,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Informa UK Limited,19,Non-Retraction
Informa UK Limited,2,Non-Retraction
Japan Society of Histochemistry & Cytochemistry,0,Non-Retraction
Elsevier BV,0,Non-Retraction
American Speech Language Hearing Association,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Ternopil State Medical University,0,Non-Retraction
Cambridge University Press (CUP),6,Non-Retraction
Springer Science and Business Media LLC,21,Non-Retraction
Elsevier BV,0,Non-Retraction
University of Chicago Press,0,Non-Retraction
Pleiades Publishing Ltd,9,Non-Retraction
Informa UK Limited,1,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
De Gruyter,0,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,32,Non-Retraction
IEEE,7,Non-Retraction
Hindawi Limited,33,Non-Retraction
Centre for Evaluation in Education and Science (CEON/CEES),15,Non-Retraction
Springer Berlin Heidelberg,5,Non-Retraction
SAGE Publications,6,Non-Retraction
FSBI Russian State Library,0,Non-Retraction
Pleiades Publishing Ltd,29,Non-Retraction
Pleiades Publishing Ltd,10,Non-Retraction
Penerbit UTM Press,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Elsevier BV,3,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
National Council of Teachers of Mathematics,0,Non-Retraction
STMIK Budi Darma,0,Non-Retraction
Elsevier,0,Non-Retraction
Elsevier BV,0,Non-Retraction
Cambridge University Press (CUP),2,Non-Retraction
Cambridge University Press (CUP),19,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
American Society of Civil Engineers,6,Non-Retraction
Elsevier BV,0,Non-Retraction
Architectural Institute of Japan,1,Non-Retraction
IEEE,0,Non-Retraction
Science Publications,0,Non-Retraction
Universitas Halu Oleo,0,Non-Retraction
Japanese Society of Tea Science and Technology,8,Non-Retraction
Elsevier BV,11,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Princeton University Press,0,Non-Retraction
The City Planning Institute of Japan,9,Non-Retraction
Organo Judicial de la Republica de Panama,0,Non-Retraction
DE GRUYTER,0,Non-Retraction
IEEE,15,Non-Retraction
Springer Berlin Heidelberg,11,Non-Retraction
Elsevier BV,0,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Duke University Press,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
IEEE,12,Non-Retraction
IEEE,5,Non-Retraction
SAGE Publications,0,Non-Retraction
Massachusetts Medical Society,0,Non-Retraction
Elsevier BV,0,Non-Retraction
American Institute of Aeronautics and Astronautics,6,Non-Retraction
Elsevier BV,3,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
ECO-Vector LLC,0,Non-Retraction
Emerald,22,Non-Retraction
The Electrochemical Society,0,Non-Retraction
Elsevier BV,21,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Georg Thieme Verlag KG,0,Non-Retraction
Revista Catarinense da Ciencia Contabil,60,Non-Retraction
Japan Society of Mechanical Engineers,0,Non-Retraction
Bangladesh Journals Online (JOL),0,Non-Retraction
American Society of Hematology,0,Non-Retraction
National Council of Teachers of Mathematics,0,Non-Retraction
Walter de Gruyter GmbH,0,Non-Retraction
University of Florida George A Smathers Libraries,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
CMA Joule Inc.,0,Non-Retraction
Informa UK Limited,11,Non-Retraction
Cambridge University Press (CUP),0,Non-Retraction
Elsevier BV,0,Non-Retraction
Springer Science and Business Media LLC,4,Non-Retraction
EDP Sciences,9,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Springer Science and Business Media LLC,12,Non-Retraction
SAGE Publications,13,Non-Retraction
Springer Science and Business Media LLC,15,Non-Retraction
Oxford University Press (OUP),0,Non-Retraction
Informa UK Limited,0,Non-Retraction
De Gruyter,0,Non-Retraction
Springer Science and Business Media LLC,0,Non-Retraction
Springer New York,30,Non-Retraction
Elsevier BV,0,Non-Retraction
FapUNIFESP (SciELO),33,Non-Retraction
